NOMBRE,LINK MAPS,HTML
La Acocota,https://maps.app.goo.gl/FAwXCYDJG7PVMJv57,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4788.0280091222985!2d-98.1859266!3d19.0420574!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0f06fac1ca5%3A0x8afa52e3c264696f!2sLa%20Acocota%2C%20Heroica%20Puebla%20de%20Zaragoza%2C%20Pue.!5e1!3m2!1ses-419!2smx!4v1782598463191!5m2!1ses-419!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
La Casa del Mendrugo,https://maps.app.goo.gl/zt4DKdr7G2RVvcBV8,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2442.6912870115793!2d-98.19613377889912!3d19.041766841608137!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e628dc1d93%3A0x39fec4bd57a15927!2sLa%20Casa%20del%20Mendrugo!5e0!3m2!1ses!2smx!4v1782598509154!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
La Pasita,https://maps.app.goo.gl/BqgECAPwAESkzjPbA,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d7542.926054969002!2d-98.2012934!3d19.0433692!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e89b16c147%3A0xbb676c6f34845116!2sLa%20Pasita%201!5e0!3m2!1ses!2smx!4v1782598537491!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
La Victoria,https://maps.app.goo.gl/CK1j8tXwAyoZWD2W9,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1307.5696754041805!2d-98.19842411451877!3d19.047092505773715!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e0b450d087%3A0x2aba69366fac3df0!2sCentro%20Comercial%20La%20Victoria!5e1!3m2!1ses-419!2smx!4v1782598600031!5m2!1ses-419!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Lavaderos de Almoloya,https://maps.app.goo.gl/gertkqsTgsF6UyLE8,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4787.921530995065!2d-98.18915229999999!3d19.0457487!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e4cf7d6e67%3A0xcfa3a74d8f08ee70!2sLos%20Lavaderos%20de%20Almoloya!5e1!3m2!1ses-419!2smx!4v1782598620218!5m2!1ses-419!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Mesón del Cristo,https://maps.app.goo.gl/o3UYGuKjGj5iZMHaA,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4787.908866411109!2d-98.1941597!3d19.046187700000004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e6a1ae23e3%3A0x8870d30012aa8c7b!2sMESON%20DEL%20CRISTO!5e1!3m2!1ses-419!2smx!4v1782598636614!5m2!1ses-419!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Monumento a los fundadores de Puebla,https://maps.app.goo.gl/ibJv7KRrHT8ykp4i8,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d9575.85783804007!2d-98.1899225!3d19.0454926!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e4e7d83ec3%3A0x7013a5de6076faed!2sFundadores%20de%20Puebla!5e1!3m2!1ses-419!2smx!4v1782598661881!5m2!1ses-419!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Museo Amparo,https://maps.app.goo.gl/dbFCkSYF3ozPPnEm6,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3771.518524452161!2d-98.19844529999999!3d19.040926499999998!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e80ee17c7d%3A0x81b13f9dfc55a353!2sMuseo%20Amparo!5e0!3m2!1ses!2smx!4v1782598680531!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Parador de La luz,https://maps.app.goo.gl/5TQaMks5NwMKfVQ46,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d9576.117682926191!2d-98.18993359999999!3d19.040988400000003!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc13a2003e0a1%3A0xc7b8cf97d5c669e4!2sParador%20de%20la%20Luz!5e1!3m2!1ses-419!2smx!4v1782598694455!5m2!1ses-419!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Parque San Francisco,https://maps.app.goo.gl/jJAnyBhztuAe7Ea28,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d9575.975629952703!2d-98.19037379999999!3d19.043450900000003!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e51322d579%3A0xce6e06bc42ff2f95!2sParque%20Paseo%20San%20Francisco!5e1!3m2!1ses-419!2smx!4v1782599808070!5m2!1ses-419!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
